base_original;distrito;Provincia;seccion_electoral;MUNICIPIO_mapa;eleccion;Partido;Tipo_Voto;votos;Tipo_elección
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;Otras fuerzas;Positivo;3238;Concejales Titulares
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;Fuerza Patria;Positivo;8275;Concejales Titulares
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;La Libertad Avanza;Positivo;11301;Concejales Titulares
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;Nulo;Nulo;432;Concejales Titulares
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;En Blanco;En Blanco;2340;Concejales Titulares
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;Somos;Positivo;1224;Concejales Titulares
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;Frente de Izquierda;Positivo;522;Concejales Titulares
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;En Blanco;En Blanco;939;Concejales Titulares
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;Nulo;Nulo;292;Concejales Titulares
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;La Libertad Avanza;Positivo;7778;Concejales Titulares
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;Somos;Positivo;1216;Concejales Titulares
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;Otras fuerzas;Positivo;792;Concejales Titulares
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;Fuerza Patria;Positivo;6813;Concejales Titulares
BRANDSEN;BRANDSEN;Provincia de Buenos Aires;Tercera;Brandsen;2025;Potencia;Positivo;553;Concejales Titulares
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;La Libertad Avanza;Positivo;35754;Concejales Titulares
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;Somos;Positivo;1735;Concejales Titulares
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;Otras fuerzas;Positivo;1410;Concejales Titulares
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;Nulo;Nulo;675;Concejales Titulares
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;En Blanco;En Blanco;2464;Concejales Titulares
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;Potencia;Positivo;0;Concejales Titulares
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;Fuerza Patria;Positivo;17418;Concejales Titulares
CAMPANA;CAMPANA;Provincia de Buenos Aires;Primera;Campana;2025;Frente de Izquierda;Positivo;3069;Concejales Titulares
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;La Libertad Avanza;Positivo;5508;Concejales Titulares
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;Otras fuerzas;Positivo;2125;Concejales Titulares
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;Fuerza Patria;Positivo;1346;Concejales Titulares
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;Frente de Izquierda;Positivo;0;Concejales Titulares
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;Nulo;Nulo;61;Concejales Titulares
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;En Blanco;En Blanco;780;Concejales Titulares
CAPITAN SARMIENTO;CAPITAN SARMIENTO;Provincia de Buenos Aires;Segunda;Capitán Sarmiento;2025;Potencia;Positivo;0;Concejales Titulares
CARLOS CASARES;CARLOS CASARES;Provincia de Buenos Aires;Cuarta;Carlos Casares;2025;Frente de Izquierda;Positivo;0;Concejales Titulares
CARLOS CASARES;CARLOS CASARES;Provincia de Buenos Aires;Cuarta;Carlos Casares;2025;Fuerza Patria;Positivo;6060;Concejales Titulares
CARLOS CASARES;CARLOS CASARES;Provincia de Buenos Aires;Cuarta;Carlos Casares;2025;La Libertad Avanza;Positivo;6085;Concejales Titulares
CARLOS CASARES;CARLOS CASARES;Provincia de Buenos Aires;Cuarta;Carlos Casares;2025;Somos;Positivo;1215;Concejales Titulares
CARLOS CASARES;CARLOS CASARES;Provincia de Buenos Aires;Cuarta;Carlos Casares;2025;Nulo;Nulo;26;Concejales Titulares
CARLOS CASARES;CARLOS CASARES;Provincia de Buenos Aires;Cuarta;Carlos Casares;2025;En Blanco;En Blanco;1455;Concejales Titulares
CARLOS TEJEDOR;CARLOS TEJEDOR;Provincia de Buenos Aires;Cuarta;Carlos Tejedor;2025;Somos;Positivo;0;Concejales Titulares
CARLOS TEJEDOR;CARLOS TEJEDOR;Provincia de Buenos Aires;Cuarta;Carlos Tejedor;2025;Nulo;Nulo;37;Concejales Titulares
CARLOS TEJEDOR;CARLOS TEJEDOR;Provincia de Buenos Aires;Cuarta;Carlos Tejedor;2025;La Libertad Avanza;Positivo;4145;Concejales Titulares
CARLOS TEJEDOR;CARLOS TEJEDOR;Provincia de Buenos Aires;Cuarta;Carlos Tejedor;2025;Fuerza Patria;Positivo;3542;Concejales Titulares
CARLOS TEJEDOR;CARLOS TEJEDOR;Provincia de Buenos Aires;Cuarta;Carlos Tejedor;2025;Frente de Izquierda;Positivo;0;Concejales Titulares
CARLOS TEJEDOR;CARLOS TEJEDOR;Provincia de Buenos Aires;Cuarta;Carlos Tejedor;2025;En Blanco;En Blanco;565;Concejales Titulares
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;En Blanco;En Blanco;552;Concejales Titulares
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;Frente de Izquierda;Positivo;0;Concejales Titulares
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;Nulo;Nulo;92;Concejales Titulares
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;La Libertad Avanza;Positivo;3899;Concejales Titulares
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;Potencia;Positivo;0;Concejales Titulares
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;Otras fuerzas;Positivo;2534;Concejales Titulares
CARMEN DE ARECO;CARMEN DE ARECO;Provincia de Buenos Aires;Segunda;Carmen de Areco;2025;Fuerza Patria;Positivo;3513;Concejales Titulares
CASTELLI;CASTELLI;Provincia de Buenos Aires;Quinta;Castelli;2025;En Blanco;En Blanco;181;Concejales Titulares
CASTELLI;CASTELLI;Provincia de Buenos Aires;Quinta;Castelli;2025;La Libertad Avanza;Positivo;2972;Concejales Titulares
CASTELLI;CASTELLI;Provincia de Buenos Aires;Quinta;Castelli;2025;Nulo;Nulo;43;Concejales Titulares
CASTELLI;CASTELLI;Provincia de Buenos Aires;Quinta;Castelli;2025;Somos;Positivo;0;Concejales Titulares
CASTELLI;CASTELLI;Provincia de Buenos Aires;Quinta;Castelli;2025;Frente de Izquierda;Positivo;0;Concejales Titulares
CASTELLI;CASTELLI;Provincia de Buenos Aires;Quinta;Castelli;2025;Fuerza Patria;Positivo;3179;Concejales Titulares
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;Somos;Positivo;1661;Concejales Titulares
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;En Blanco;En Blanco;1573;Concejales Titulares
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;Nulo;Nulo;322;Concejales Titulares
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;Potencia;Positivo;970;Concejales Titulares
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;La Libertad Avanza;Positivo;15627;Concejales Titulares
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;Fuerza Patria;Positivo;14415;Concejales Titulares
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;Frente de Izquierda;Positivo;2065;Concejales Titulares
CHACABUCO;CHACABUCO;Provincia de Buenos Aires;Cuarta;Chacabuco;2025;Somos;Positivo;898;Concejales Titulares
CHACABUCO;CHACABUCO;Provincia de Buenos Aires;Cuarta;Chacabuco;2025;Fuerza Patria;Positivo;14104;Concejales Titulares
CHACABUCO;CHACABUCO;Provincia de Buenos Aires;Cuarta;Chacabuco;2025;La Libertad Avanza;Positivo;15964;Concejales Titulares
CHACABUCO;CHACABUCO;Provincia de Buenos Aires;Cuarta;Chacabuco;2025;Frente de Izquierda;Positivo;1028;Concejales Titulares
CHACABUCO;CHACABUCO;Provincia de Buenos Aires;Cuarta;Chacabuco;2025;En Blanco;En Blanco;924;Concejales Titulares
CHACABUCO;CHACABUCO;Provincia de Buenos Aires;Cuarta;Chacabuco;2025;Nulo;Nulo;320;Concejales Titulares
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;Fuerza Patria;Positivo;6489;Concejales Titulares
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;Otras fuerzas;Positivo;2240;Concejales Titulares
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;La Libertad Avanza;Positivo;12395;Concejales Titulares
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;Frente de Izquierda;Positivo;996;Concejales Titulares
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;Somos;Positivo;824;Concejales Titulares
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;En Blanco;En Blanco;1842;Concejales Titulares
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;Nulo;Nulo;124;Concejales Titulares
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;Otras fuerzas;Positivo;13823;Concejales Titulares
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;En Blanco;En Blanco;1735;Concejales Titulares
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;La Libertad Avanza;Positivo;10918;Concejales Titulares
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;Somos;Positivo;7783;Concejales Titulares
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;Frente de Izquierda;Positivo;992;Concejales Titulares
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;Nulo;Nulo;578;Concejales Titulares
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;Fuerza Patria;Positivo;9357;Concejales Titulares
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;Otras fuerzas;Positivo;1079;Concejales Titulares
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;Potencia;Positivo;999;Concejales Titulares
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;En Blanco;En Blanco;838;Concejales Titulares
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;La Libertad Avanza;Positivo;6661;Concejales Titulares
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;Frente de Izquierda;Positivo;735;Concejales Titulares
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;Nulo;Nulo;208;Concejales Titulares
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;Fuerza Patria;Positivo;5332;Concejales Titulares
