base_original;distrito;Provincia;seccion_electoral;MUNICIPIO_mapa;eleccion;Partido;Tipo_Voto;votos;Tipo_elección
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;Fuerza Patria;Positivo;14558;Diputados Provinciales
CAÑUELAS;CAÑUELAS;Provincia de Buenos Aires;Tercera;Cañuelas;2025;Frente de Izquierda;Positivo;2055;Diputados Provinciales
CHACABUCO;CHACABUCO;Provincia de Buenos Aires;Cuarta;Chacabuco;2025;La Libertad Avanza;Positivo;16148;Senadores Provinciales
CHACABUCO;CHACABUCO;Provincia de Buenos Aires;Cuarta;Chacabuco;2025;Somos;Positivo;959;Senadores Provinciales
CHACABUCO;CHACABUCO;Provincia de Buenos Aires;Cuarta;Chacabuco;2025;En Blanco;En Blanco;1343;Senadores Provinciales
CHACABUCO;CHACABUCO;Provincia de Buenos Aires;Cuarta;Chacabuco;2025;Fuerza Patria;Positivo;13417;Senadores Provinciales
CHACABUCO;CHACABUCO;Provincia de Buenos Aires;Cuarta;Chacabuco;2025;Frente de Izquierda;Positivo;1063;Senadores Provinciales
CHACABUCO;CHACABUCO;Provincia de Buenos Aires;Cuarta;Chacabuco;2025;Nulo;Nulo;308;Senadores Provinciales
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;Nulo;Nulo;108;Senadores Provinciales
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;La Libertad Avanza;Positivo;14453;Senadores Provinciales
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;Otras fuerzas;Positivo;0;Senadores Provinciales
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;Somos;Positivo;815;Senadores Provinciales
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;En Blanco;En Blanco;2336;Senadores Provinciales
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;Fuerza Patria;Positivo;6123;Senadores Provinciales
CHASCOMUS;CHASCOMUS;Provincia de Buenos Aires;Quinta;Chascomús;2025;Frente de Izquierda;Positivo;1075;Senadores Provinciales
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;La Libertad Avanza;Positivo;17347;Senadores Provinciales
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;Fuerza Patria;Positivo;10282;Senadores Provinciales
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;Otras fuerzas;Positivo;0;Senadores Provinciales
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;Somos;Positivo;9570;Senadores Provinciales
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;Frente de Izquierda;Positivo;1212;Senadores Provinciales
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;En Blanco;En Blanco;6444;Senadores Provinciales
CHIVILCOY;CHIVILCOY;Provincia de Buenos Aires;Cuarta;Chivilcoy;2025;Nulo;Nulo;331;Senadores Provinciales
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;Potencia;Positivo;746;Diputados Provinciales
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;Otras fuerzas;Positivo;386;Diputados Provinciales
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;Frente de Izquierda;Positivo;704;Diputados Provinciales
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;Fuerza Patria;Positivo;5448;Diputados Provinciales
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;Nulo;Nulo;212;Diputados Provinciales
COLON;COLON;Provincia de Buenos Aires;Segunda;Colón;2025;La Libertad Avanza;Positivo;6655;Diputados Provinciales
